basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250616,000540,KR7000540005,흥국화재,KOSPI,4470,35,.79,4500,4500,4305,155646,682945449,64242645,287164623150
20250616,000545,KR7000541003,흥국화재우,KOSPI,7640,30,.39,7620,7640,7430,20473,153771640,768000,5867520000
20250616,000590,KR7000590000,CS홀딩스,KOSPI,92300,-100,-.11,91700,93100,91500,1132,104679050,1154482,106558688600
20250616,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,118700,-900,-.75,119100,119600,115200,19474,2285093500,6536434,775874715800
20250616,000650,KR7000650002,천일고속,KOSPI,41500,-250,-.6,41750,42950,41000,383,15952300,1429220,59312630000
20250616,000660,KR7000660001,SK하이닉스,KOSPI,248000,12500,5.31,238000,248500,238000,3760740,919187630141,728002365,180544586520000
20250616,000670,KR7000670000,영풍,KOSPI,42550,800,1.92,42550,42750,40250,34393,1436804250,19108450,813064547500
20250616,000680,KR7000680009,LS네트웍스,KOSPI,3850,125,3.36,3695,3855,3645,389351,1473702492,78803016,303391611600
20250616,000700,KR7000700005,유수홀딩스,KOSPI,6180,110,1.81,6070,6240,6060,31141,192346835,26041812,160938398160
20250616,000720,KR7000720003,현대건설,KOSPI,79100,5500,7.47,74200,79600,74200,2039467,157559087250,111355765,8808241011500
20250616,000725,KR7000721001,현대건설우,KOSPI,70700,1800,2.61,69100,71000,68300,30266,2120632800,1054693,74566795100
20250616,000760,KR7000760009,이화산업,KOSPI,13190,110,.84,13080,13290,13010,1673,22066680,2800000,36932000000
20250616,000810,KR7000810002,삼성화재,KOSPI,444500,8000,1.83,443000,445500,431000,66222,29043833500,46011155,20451958397500
20250616,000815,KR7000811000,삼성화재우,KOSPI,325000,7500,2.36,317500,325000,317500,12094,3884593500,3099510,1007340750000
20250616,000850,KR7000850008,화천기공,KOSPI,32750,250,.77,32500,33350,32500,2956,97186250,2200000,72050000000
20250616,000860,KR7000860007,강남제비스코,KOSPI,12850,150,1.18,12600,12850,12510,32117,407891315,13000000,167050000000
20250616,000880,KR7000880005,한화,KOSPI,100600,11800,13.29,89200,101600,89100,1753339,169768221500,74958735,7540848741000
20250616,000885,KR7000881003,한화우,KOSPI,73700,6700,10,65200,73900,65200,8773,624555800,199033,14668732100
20250616,00088K,KR700088K015,한화3우B,KOSPI,42600,5100,13.6,37600,42650,37500,392969,15982975075,19404441,826629186600
20250616,000890,KR7000890004,보해양조,KOSPI,514,9,1.78,505,514,500,485204,246719244,139120129,71507746306
20250616,000910,KR7000910000,유니온,KOSPI,4835,40,.83,4795,4845,4735,104010,498595754,15611619,75482177865
20250616,000950,KR7000950006,전방,KOSPI,42350,4800,12.78,38450,48250,37900,76575,3265333175,1680000,71148000000
20250616,000970,KR7000970004,한국주철관,KOSPI,7320,80,1.1,7200,7360,7180,86828,633144245,22800500,166899660000
20250616,000990,KR7000990002,DB하이텍,KOSPI,43950,-100,-.23,43500,44050,42950,124782,5426718950,44398588,1951317942600
20250616,001000,KR7001000009,신라섬유,KOSDAQ,1768,-62,-3.39,1816,1880,1691,321152,574204559,24277540,42922690720
20250616,001020,KR7001020007,페이퍼코리아,KOSPI,712,-8,-1.11,712,726,711,18643,13341215,177983313,126724118856
20250616,001040,KR7001040005,CJ,KOSPI,153000,7000,4.79,146200,154300,145000,236136,35629327650,29176998,4464080694000
20250616,001045,KR7001041003,CJ우,KOSPI,85500,3500,4.27,82000,85500,81000,14687,1223307950,2260223,193249066500
20250616,00104K,KR700104K010,CJ4우(전환),KOSPI,124800,5100,4.26,120000,125100,119600,15071,1845873500,4226512,527468697600
20250616,001060,KR7001060003,JW중외제약,KOSPI,22300,-1100,-4.7,22500,22850,22100,110002,2461989700,23285930,519276239000
20250616,001065,KR7001061001,JW중외제약우,KOSPI,29400,-600,-2,30000,30000,29200,268,7889400,341951,10053359400
20250616,001067,KR7001062009,JW중외제약2우B,KOSPI,64900,-400,-.61,64000,64900,64000,55,3536200,209973,13627247700
20250616,001070,KR7001070002,대한방직,KOSPI,7120,-30,-.42,7150,7290,6900,43949,310001800,5300000,37736000000
20250616,001080,KR7001080001,만호제강,KOSPI,27600,-150,-.54,27750,28000,27550,560,15559050,4150000,114540000000
20250616,001120,KR7001120005,LX인터내셔널,KOSPI,30500,1450,4.99,29400,30900,29100,669470,20245619000,38760000,1182180000000
20250616,001130,KR7001130004,대한제분,KOSPI,155300,400,.26,154900,155300,151500,3149,484406000,1690000,262457000000
20250616,001140,KR7001140003,국보,KOSPI,2110,0,0,0,0,0,0,0,15856388,33456978680
20250616,001200,KR7001200005,유진투자증권,KOSPI,3575,50,1.42,3445,3575,3425,782116,2752248852,96866418,346297444350
20250616,001210,KR7001210004,금호전기,KOSPI,1125,1,.09,1124,1144,1110,338857,382331852,61553997,69248246625
20250616,001230,KR7001230002,동국홀딩스,KOSPI,8420,250,3.06,8170,8450,8120,120715,1011460695,31800483,267760066860
20250616,001250,KR7001250000,GS글로벌,KOSPI,2780,95,3.54,2755,2805,2725,1257013,3474538375,82533764,229443863920
20250616,001260,KR7001260009,남광토건,KOSPI,10660,-410,-3.7,11100,11240,10500,118685,1279157420,9832572,104815217520
20250616,001270,KR7001270008,부국증권,KOSPI,42350,150,.36,41500,42800,41350,28792,1217637675,10369886,439164672100
20250616,001275,KR7001271006,부국증권우,KOSPI,26500,550,2.12,26250,26500,26250,10751,282772350,3000000,79500000000
20250616,001290,KR7001290006,상상인증권,KOSPI,717,39,5.75,671,738,662,2861912,2033509916,108337120,77677715040
20250616,001340,KR7001340009,PKC,KOSPI,5890,320,5.75,5530,5900,5400,233929,1315446915,44918407,264569417230
20250616,001360,KR7001360007,삼성제약,KOSPI,1927,28,1.47,1905,1982,1898,1317258,2549346572,94162079,181450326233
20250616,001380,KR7001380005,SG글로벌,KOSPI,1759,-6,-.34,1765,1766,1730,233499,407834834,44964143,79091927537
20250616,001390,KR7001390004,KG케미칼,KOSPI,4705,185,4.09,4530,4710,4475,396300,1832268576,68469040,322146833200
20250616,001420,KR7001420009,태원물산,KOSPI,4055,-25,-.61,4070,4095,4020,2405,9702855,7600000,30818000000
20250616,001430,KR7001430008,세아베스틸지주,KOSPI,23250,400,1.75,22500,23500,22250,100860,2327196800,35862119,833794266750
20250616,001440,KR7001440007,대한전선,KOSPI,15940,0,0,15680,16020,15450,2631375,41448917490,186447300,2971969962000
20250616,001450,KR7001450006,현대해상,KOSPI,26350,-50,-.19,26600,26750,25700,677681,17678139175,89400000,2355690000000
20250616,001460,KR7001460005,BYC,KOSPI,39500,1800,4.77,37300,40600,37300,10423,404789400,6246150,246722925000
20250616,001465,KR7001461003,BYC우,KOSPI,20850,2980,16.68,18220,22700,17890,102395,2107705010,2153850,44907772500
20250616,001470,KR7001470004,삼부토건,KOSPI,347,0,0,0,0,0,0,0,229681824,79699592928
20250616,001500,KR7001500008,현대차증권,KOSPI,7620,50,.66,7560,7670,7420,615971,4657558605,61833044,471167795280
20250616,001510,KR7001510007,SK증권,KOSPI,654,14,2.19,635,655,630,4118826,2663343762,472590171,309073971834
20250616,001515,KR7001511005,SK증권우,KOSPI,2175,-45,-2.03,2175,2180,2155,33550,72950880,3912514,8509717950
20250616,001520,KR7001520006,동양,KOSPI,641,3,.47,638,643,627,370416,235370991,238684063,152996484383
20250616,001525,KR7001521004,동양우,KOSPI,4265,50,1.19,4195,4265,4195,675,2843600,617731,2634622715
20250616,001527,KR7001522002,동양2우B,KOSPI,8540,-60,-.7,8590,8590,8440,291,2473450,308569,2635179260
20250616,001530,KR7001530005,DI동일,KOSPI,37750,50,.13,36550,37900,36300,42671,1586162550,20334136,767613634000
20250616,001540,KR7001540004,안국약품,KOSDAQ,8000,120,1.52,7890,8020,7770,39695,313751870,13042420,104339360000
20250616,001550,KR7001550003,조비,KOSPI,15330,-280,-1.79,15530,15930,15160,169824,2621562595,5192239,79597023870
20250616,001560,KR7001560002,제일연마,KOSPI,10130,130,1.3,10000,10200,9740,17278,171482970,9900000,100287000000
20250616,001570,KR7001570001,금양,KOSPI,9900,0,0,0,0,0,0,0,63967196,633275240400
20250616,001620,KR7001620004,케이비아이동국실업,KOSPI,492,2,.41,490,493,484,124889,60746129,111293031,54756171252
20250616,001630,KR7001630003,종근당홀딩스,KOSPI,53900,800,1.51,52900,54500,52100,7216,383518300,5009861,270031507900
20250616,001680,KR7001680008,대상,KOSPI,21950,250,1.15,21750,22050,21550,88438,1928276850,34648025,760524148750
20250616,001685,KR7001681006,대상우,KOSPI,17220,380,2.26,16840,17280,16840,9120,154918185,1370223,23595240060
20250616,001720,KR7001720002,신영증권,KOSPI,117200,1200,1.03,116000,120300,115400,51158,6048278700,16440000,1926768000000
20250616,001740,KR7001740000,SK네트웍스,KOSPI,4305,-20,-.46,4325,4325,4245,377317,1619361170,221277902,952601368110
20250616,001750,KR7001750009,한양증권,KOSPI,17930,630,3.64,17120,17930,17120,53806,951371595,12728534,228222614620
20250616,001755,KR7001751007,한양증권우,KOSPI,17550,360,2.09,17190,17620,16630,5710,99483090,525000,9213750000
20250616,001770,KR7001770007,SHD,KOSPI,18000,110,.61,17890,18100,17560,3466,62287160,1214878,21867804000
20250616,001780,KR7001780006,알루코,KOSPI,2340,-10,-.43,2330,2355,2300,319494,745755350,96830132,226582508880
20250616,001790,KR7001790005,대한제당,KOSPI,2955,15,.51,2980,3000,2935,1223642,3627234069,89696580,265053393900
20250616,001795,KR7001791003,대한제당우,KOSPI,2510,35,1.41,2475,2525,2465,160318,398366001,6482760,16271727600
20250616,001800,KR7001800002,오리온홀딩스,KOSPI,22000,750,3.53,21050,22100,21050,225858,4916024175,62645422,1378199284000
20250616,001810,KR7001810001,무림SP,KOSDAQ,1727,33,1.95,1676,1731,1676,16622,28507847,22137500,38231462500
